date;avg_temp
1961-11-01;3.9134
1961-12-01;-0.601
1962-01-01;1.54023
1962-02-01;0.35941
1962-03-01;0.77486
1962-04-01;8.32415
1962-05-01;9.96729
1962-06-01;14.3536
1962-07-01;15.196
1962-08-01;16.2578
1962-09-01;12.8429
1962-10-01;9.23201
1962-11-01;2.81483
1962-12-01;-3.1688
1963-01-01;-7.1741
1963-02-01;-5.5452
1963-03-01;2.69537
1963-04-01;8.51316
1963-05-01;12.0541
1963-06-01;15.9032
1963-07-01;17.9294
1963-08-01;16.3026
1963-09-01;14.053
1963-10-01;8.4304
1963-11-01;7.42546
1963-12-01;-3.0465
1964-01-01;-2.5315
1964-02-01;0.51196
1964-03-01;0.7341
1964-04-01;8.79679
1964-05-01;13.6286
1964-06-01;17.017
1964-07-01;18.2091
1964-08-01;16.3308
1964-09-01;14.0905
1964-10-01;7.3167
1964-11-01;5.0507
1964-12-01;0.44686
1965-01-01;1.13747
1965-02-01;-1.5398
1965-03-01;2.68961
1965-04-01;6.93515
1965-05-01;11.1918
1965-06-01;15.5989
1965-07-01;15.1914
1965-08-01;15.3075
1965-09-01;13.1758
1965-10-01;8.59432
1965-11-01;1.4163
1965-12-01;2.31262
1966-01-01;-2.7732
1966-02-01;3.32246
1966-03-01;3.67158
1966-04-01;8.69594
1966-05-01;13.0113
1966-06-01;17.0084
1966-07-01;15.8001
1966-08-01;15.8391
1966-09-01;13.6969
1966-10-01;11.2691
1966-11-01;2.43994
1966-12-01;1.91168
1967-01-01;0.60986
1967-02-01;2.84225
1967-03-01;5.59355
1967-04-01;6.76186
1967-05-01;12.7051
1967-06-01;14.8854
1967-07-01;18.8586
1967-08-01;16.8267
1967-09-01;14.2978
1967-10-01;11.5673
1967-11-01;4.10723
1967-12-01;0.38568
1968-01-01;-1.1185
1968-02-01;0.78464
1968-03-01;4.75123
1968-04-01;9.33745
1968-05-01;10.9613
1968-06-01;16.0878
1968-07-01;16.4097
1968-08-01;16.6812
1968-09-01;13.9175
1968-10-01;10.5629
1968-11-01;3.92542
1968-12-01;-2.0365
1969-01-01;0.35461
1969-02-01;-2.016
1969-03-01;1.01364
1969-04-01;7.20535
1969-05-01;12.9013
1969-06-01;14.8626
1969-07-01;18.5237
1969-08-01;16.8613
1969-09-01;14.2415
1969-10-01;10.2926
1969-11-01;5.27335
1969-12-01;-4.4737
1970-01-01;-2.5214
1970-02-01;-1.098
1970-03-01;1.52238
1970-04-01;5.60394
1970-05-01;11.3349
1970-06-01;17.0818
1970-07-01;16.3512
1970-08-01;17.0964
1970-09-01;13.6926
1970-10-01;9.17269
1970-11-01;5.84299
1970-12-01;0.47753
1971-01-01;-1.0971
1971-02-01;1.39498
1971-03-01;1.25912
1971-04-01;8.42502
1971-05-01;13.9053
1971-06-01;13.9942
1971-07-01;18.1995
1971-08-01;18.2234
1971-09-01;12.671
1971-10-01;9.40861
1971-11-01;3.75015
1971-12-01;3.52995
1972-01-01;-2.4859
1972-02-01;1.96628
1972-03-01;5.48873
1972-04-01;7.44537
1972-05-01;11.4687
1972-06-01;14.5899
1972-07-01;17.8257
1972-08-01;16.1117
1972-09-01;11.2531
1972-10-01;7.1793
1972-11-01;4.31304
1972-12-01;0.77293
1973-01-01;-0.0501
1973-02-01;1.06451
1973-03-01;4.34223
1973-04-01;5.42039
1973-05-01;12.5967
1973-06-01;16.2012
1973-07-01;17.4494
1973-08-01;18.1443
1973-09-01;14.6629
1973-10-01;7.67927
1973-11-01;3.53049
1973-12-01;0.27497
1974-01-01;3.02172
1974-02-01;3.21531
1974-03-01;5.62599
1974-04-01;8.15346
1974-05-01;11.0684
1974-06-01;14.2405
1974-07-01;15.5568
1974-08-01;17.4374
1974-09-01;13.6487
1974-10-01;5.91679
1974-11-01;4.98491
1974-12-01;4.6918
1975-01-01;4.42395
1975-02-01;1.3663
1975-03-01;3.8612
1975-04-01;6.98203
1975-05-01;11.7993
1975-06-01;14.7046
1975-07-01;18.3508
1975-08-01;19.1869
1975-09-01;15.9427
1975-10-01;7.85481
1975-11-01;3.24898
1975-12-01;1.30631
1976-01-01;1.03346
1976-02-01;0.48641
1976-03-01;1.57077
1976-04-01;7.17291
1976-05-01;12.8988
1976-06-01;17.3913
1976-07-01;19.3304
1976-08-01;16.5253
1976-09-01;13.145
1976-10-01;9.68784
1976-11-01;4.90377
1976-12-01;-0.9245
1977-01-01;0.41995
1977-02-01;2.98989
1977-03-01;6.38593
1977-04-01;5.981
1977-05-01;11.7025
1977-06-01;15.4539
1977-07-01;16.553
1977-08-01;16.0996
1977-09-01;12.273
1977-10-01;10.4619
1977-11-01;5.20321
1977-12-01;2.01668
1978-01-01;0.65665
1978-02-01;-1.0895
1978-03-01;4.97128
1978-04-01;6.71408
1978-05-01;11.5408
1978-06-01;14.856
1978-07-01;15.6553
1978-08-01;15.5821
1978-09-01;12.5582
1978-10-01;9.46381
1978-11-01;4.40276
1978-12-01;0.22433
1979-01-01;-4.4078
1979-02-01;-1.8475
1979-03-01;3.87014
1979-04-01;6.62447
1979-05-01;12.5462
1979-06-01;16.512
1979-07-01;15.4926
1979-08-01;15.9045
1979-09-01;13.6581
1979-10-01;8.91155
1979-11-01;3.81914
1979-12-01;3.61315
1980-01-01;-2.727
1980-02-01;2.19794
1980-03-01;3.4453
1980-04-01;6.30124
1980-05-01;10.6363
1980-06-01;14.7237
1980-07-01;15.2747
1980-08-01;16.979
1980-09-01;14.4371
1980-10-01;8.35685
1980-11-01;3.20747
1980-12-01;0.70769
1981-01-01;-1.3718
1981-02-01;-0.2303
1981-03-01;7.03475
1981-04-01;7.98989
1981-05-01;13.2576
1981-06-01;15.3676
1981-07-01;16.5141
1981-08-01;16.7694
1981-09-01;14.4514
1981-10-01;8.4508
1981-11-01;4.75729
1981-12-01;-2.1044
1982-01-01;-2.293
1982-02-01;0.04676
1982-03-01;4.49465
1982-04-01;6.91797
1982-05-01;12.5727
1982-06-01;16.3989
1982-07-01;19.0375
1982-08-01;17.764
1982-09-01;16.3048
1982-10-01;9.95997
1982-11-01;6.16371
1982-12-01;2.0763
1983-01-01;3.76128
1983-02-01;-1.364
1983-03-01;4.87798
1983-04-01;8.86231
1983-05-01;11.4852
1983-06-01;16.3037
1983-07-01;20.471
1983-08-01;18.4976
1983-09-01;14.2085
1983-10-01;9.6033
1983-11-01;3.74053
1983-12-01;0.74792
1984-01-01;0.93357
1984-02-01;-0.1962
1984-03-01;2.33767
1984-04-01;7.22683
1984-05-01;10.9886
1984-06-01;13.8745
1984-07-01;16.0643
1984-08-01;17.4811
1984-09-01;12.7864
1984-10-01;10.6343
1984-11-01;5.15062
1984-12-01;1.23612
1985-01-01;-5.4848
1985-02-01;-2.8482
1985-03-01;3.09127
1985-04-01;7.93564
1985-05-01;13.2732
1985-06-01;13.7263
1985-07-01;17.679
1985-08-01;16.7245
1985-09-01;14.0881
1985-10-01;9.26373
1985-11-01;1.05128
1985-12-01;3.79887
1986-01-01;0.0659
1986-02-01;-6.2595
1986-03-01;3.33948
1986-04-01;6.44403
1986-05-01;14.2354
1986-06-01;15.9631
1986-07-01;17.3057
1986-08-01;16.6594
1986-09-01;11.9072
1986-10-01;10.0777
1986-11-01;6.15173
1986-12-01;2.06583
1987-01-01;-5.9008
1987-02-01;-0.2251
1987-03-01;-0.1101
1987-04-01;9.4156
1987-05-01;9.83908
1987-06-01;13.9769
1987-07-01;17.0953
1987-08-01;15.8781
1987-09-01;15.0154
1987-10-01;9.68534
1987-11-01;5.06869
1987-12-01;2.14954
1988-01-01;3.47877
1988-02-01;2.16355
1988-03-01;3.03305
1988-04-01;8.27729
1988-05-01;14.2967
1988-06-01;15.221
1988-07-01;17.336
1988-08-01;17.483
1988-09-01;13.8135
1988-10-01;9.98286
1988-11-01;3.27341
1988-12-01;3.33497
1989-01-01;2.47838
1989-02-01;3.50081
1989-03-01;7.44445
1989-04-01;7.47985
1989-05-01;14.0151
1989-06-01;15.5731
1989-07-01;18.0017
1989-08-01;17.5139
1989-09-01;15.0206
1989-10-01;10.9666
1989-11-01;3.07197
1989-12-01;2.51714
1990-01-01;2.50263
1990-02-01;6.01796
1990-03-01;7.43767
1990-04-01;7.79914
1990-05-01;14.1396
1990-06-01;15.3865
1990-07-01;17.0287
1990-08-01;18.8555
1990-09-01;12.4587
1990-10-01;10.7032
1990-11-01;4.72375
1990-12-01;0.87803
1991-01-01;1.96318
1991-02-01;-1.6809
1991-03-01;7.32229
1991-04-01;7.57161
1991-05-01;10.0722
1991-06-01;13.9218
1991-07-01;19.6432
1991-08-01;18.6568
1991-09-01;15.7292
1991-10-01;8.66857
1991-11-01;4.35209
1991-12-01;1.13781
1992-01-01;0.96594
1992-02-01;3.02409
1992-03-01;5.68544
1992-04-01;8.62675
1992-05-01;15.0011
1992-06-01;17.421
1992-07-01;19.1176
1992-08-01;19.56
1992-09-01;14.1997
1992-10-01;6.80679
